v1,v2,v3,v4,v5,v6,label,timestamp
-9.9,-4.3,0.27,-0.04,0.09,-0.02,0,2022-01-01 00:00:00
-9.9,-4.3,0.27,-0.04,0.09,-0.02,0,2022-01-01 00:01:00
-9.93,-4.36,0.6,-0.01,0.02,0.0,0,2022-01-01 00:02:00
-9.93,-4.36,0.6,-0.01,0.02,0.0,0,2022-01-01 00:03:00
-10.14,-4.73,0.19,0.0,0.0,-0.01,0,2022-01-01 00:04:00
-10.14,-4.73,0.19,0.0,0.0,-0.01,0,2022-01-01 00:05:00
-10.07,-4.68,-0.1,0.0,0.0,-0.01,0,2022-01-01 00:06:00
-10.07,-4.68,-0.1,0.0,0.0,-0.01,0,2022-01-01 00:07:00
-10.02,-4.66,-0.63,0.0,0.02,0.0,0,2022-01-01 00:08:00
-10.02,-4.66,-0.63,0.0,0.02,0.0,0,2022-01-01 00:09:00
-10.17,-4.59,-0.53,-0.03,0.1,0.0,0,2022-01-01 00:10:00
-10.17,-4.59,-0.53,-0.03,0.1,0.0,0,2022-01-01 00:11:00
-10.1,-4.51,-0.2,-0.08,0.15,0.0,0,2022-01-01 00:12:00
-10.1,-4.51,-0.2,-0.08,0.15,0.0,0,2022-01-01 00:13:00
-9.88,-4.4,-0.03,-0.07,0.13,0.0,0,2022-01-01 00:14:00
-9.88,-4.4,-0.03,-0.07,0.13,0.0,0,2022-01-01 00:15:00
-9.98,-4.51,0.36,-0.03,0.07,-0.01,0,2022-01-01 00:16:00
-9.98,-4.51,0.36,-0.03,0.07,-0.01,0,2022-01-01 00:17:00
-10.22,-4.7,0.0,0.0,0.0,-0.02,0,2022-01-01 00:18:00
-10.22,-4.7,0.0,0.0,0.0,-0.02,0,2022-01-01 00:19:00
-10.14,-4.47,-0.35,0.01,-0.02,-0.04,0,2022-01-01 00:20:00
-10.14,-4.47,-0.35,0.01,-0.02,-0.04,0,2022-01-01 00:21:00
-9.94,-4.38,-0.49,0.01,0.0,-0.04,0,2022-01-01 00:22:00
-9.94,-4.38,-0.49,0.01,0.0,-0.04,0,2022-01-01 00:23:00
-10.1,-4.59,-0.25,0.01,0.02,-0.01,0,2022-01-01 00:24:00
-10.1,-4.59,-0.25,0.01,0.02,-0.01,0,2022-01-01 00:25:00
-10.08,-4.68,-0.19,0.0,0.02,-0.01,0,2022-01-01 00:26:00
-10.08,-4.68,-0.19,0.0,0.02,-0.01,0,2022-01-01 00:27:00
-10.09,-4.51,-0.21,0.01,0.03,-0.02,0,2022-01-01 00:28:00
-10.09,-4.51,-0.21,0.01,0.03,-0.02,0,2022-01-01 00:29:00
-10.09,-4.61,-0.15,0.03,0.02,-0.02,0,2022-01-01 00:30:00
-10.09,-4.61,-0.15,0.03,0.02,-0.02,0,2022-01-01 00:31:00
-10.01,-4.53,-0.2,0.05,0.01,-0.01,0,2022-01-01 00:32:00
-10.01,-4.53,-0.2,0.05,0.01,-0.01,0,2022-01-01 00:33:00
-10.03,-4.55,-0.09,0.06,0.0,0.0,0,2022-01-01 00:34:00
-10.03,-4.55,-0.09,0.06,0.0,0.0,0,2022-01-01 00:35:00
-10.1,-4.58,-0.47,0.06,0.0,0.01,0,2022-01-01 00:36:00
-10.1,-4.58,-0.47,0.06,0.0,0.01,0,2022-01-01 00:37:00
-10.13,-4.62,-0.21,0.06,0.0,0.01,0,2022-01-01 00:38:00
-10.13,-4.62,-0.21,0.06,0.0,0.01,0,2022-01-01 00:39:00
-9.94,-4.58,-0.23,0.06,0.0,0.02,0,2022-01-01 00:40:00
-9.94,-4.58,-0.23,0.06,0.0,0.02,0,2022-01-01 00:41:00
-10.09,-4.58,-0.57,0.07,-0.02,0.03,0,2022-01-01 00:42:00
-10.09,-4.58,-0.57,0.07,-0.02,0.03,0,2022-01-01 00:43:00
-10.19,-4.36,-0.4,0.05,0.0,0.02,0,2022-01-01 00:44:00
-10.19,-4.36,-0.4,0.05,0.0,0.02,0,2022-01-01 00:45:00
-10.13,-4.4,-0.07,0.03,0.0,0.01,0,2022-01-01 00:46:00
-10.08,-4.19,-0.08,0.03,-0.03,0.01,0,2022-01-01 00:47:00
-10.08,-4.19,-0.08,0.03,-0.03,0.01,0,2022-01-01 00:48:00
-10.24,-4.47,-0.31,0.03,-0.03,0.01,0,2022-01-01 00:49:00
-10.24,-4.47,-0.31,0.03,-0.03,0.01,0,2022-01-01 00:50:00
-10.22,-4.46,-0.32,0.0,-0.01,0.0,0,2022-01-01 00:51:00
-10.22,-4.46,-0.32,0.0,-0.01,0.0,0,2022-01-01 00:52:00
-10.13,-4.57,-0.26,-0.01,0.01,0.0,0,2022-01-01 00:53:00
-10.13,-4.57,-0.26,-0.01,0.01,0.0,0,2022-01-01 00:54:00
-10.09,-4.38,-0.06,-0.01,0.02,0.0,0,2022-01-01 00:55:00
-10.09,-4.38,-0.06,-0.01,0.02,0.0,0,2022-01-01 00:56:00
-10.1,-4.54,0.09,0.0,0.0,0.01,0,2022-01-01 00:57:00
-10.03,-4.44,-0.31,0.0,-0.01,0.01,0,2022-01-01 00:58:00
-10.03,-4.44,-0.31,0.0,-0.01,0.01,0,2022-01-01 00:59:00
-9.96,-4.57,-0.5,0.0,0.0,0.01,0,2022-01-01 01:00:00
-9.96,-4.57,-0.5,0.0,0.0,0.01,0,2022-01-01 01:01:00
-10.07,-4.5,0.06,-0.02,0.03,0.01,0,2022-01-01 01:02:00
-10.07,-4.5,0.06,-0.02,0.03,0.01,0,2022-01-01 01:03:00
-10.14,-4.57,-0.18,-0.02,0.02,0.01,0,2022-01-01 01:04:00
-10.14,-4.57,-0.18,-0.02,0.02,0.01,0,2022-01-01 01:05:00
-10.1,-4.51,-0.41,-0.02,0.02,0.0,0,2022-01-01 01:06:00
-10.1,-4.51,-0.41,-0.02,0.02,0.0,0,2022-01-01 01:07:00
-10.02,-4.59,-0.02,-0.03,0.04,0.0,0,2022-01-01 01:08:00
-10.02,-4.61,0.24,-0.01,0.01,0.0,0,2022-01-01 01:09:00
-10.02,-4.61,0.24,-0.01,0.01,0.0,0,2022-01-01 01:10:00
-10.11,-4.45,-0.07,0.0,-0.03,0.0,0,2022-01-01 01:11:00
-10.11,-4.45,-0.07,0.0,-0.03,0.0,0,2022-01-01 01:12:00
-10.14,-4.49,-0.14,0.01,-0.04,0.0,0,2022-01-01 01:13:00
-10.14,-4.49,-0.14,0.01,-0.04,0.0,0,2022-01-01 01:14:00
-10.09,-4.55,-0.22,0.01,-0.03,0.01,0,2022-01-01 01:15:00
-10.09,-4.55,-0.22,0.01,-0.03,0.01,0,2022-01-01 01:16:00
-10.05,-4.63,-0.25,0.0,-0.01,0.01,0,2022-01-01 01:17:00
-10.05,-4.63,-0.25,0.0,-0.01,0.01,0,2022-01-01 01:18:00
-10.06,-4.55,-0.09,0.0,0.0,0.01,0,2022-01-01 01:19:00
-10.13,-4.45,0.03,0.0,0.0,0.01,0,2022-01-01 01:20:00
-10.13,-4.45,0.03,0.0,0.0,0.01,0,2022-01-01 01:21:00
-10.09,-4.42,-0.06,0.0,-0.01,0.01,0,2022-01-01 01:22:00
-10.09,-4.42,-0.06,0.0,-0.01,0.01,0,2022-01-01 01:23:00
-10.11,-4.51,-0.09,0.01,0.0,0.01,0,2022-01-01 01:24:00
-10.11,-4.51,-0.09,0.01,0.0,0.01,0,2022-01-01 01:25:00
-10.16,-4.48,-0.12,0.01,0.0,0.01,0,2022-01-01 01:26:00
-10.16,-4.48,-0.12,0.01,0.0,0.01,0,2022-01-01 01:27:00
-10.07,-4.51,-0.23,0.0,0.0,0.0,0,2022-01-01 01:28:00
-10.07,-4.51,-0.23,0.0,0.0,0.0,0,2022-01-01 01:29:00
-10.02,-4.5,-0.15,0.0,0.02,0.0,0,2022-01-01 01:30:00
-10.02,-4.5,-0.15,0.0,0.02,0.0,0,2022-01-01 01:31:00
-10.11,-4.4,-0.12,0.0,0.03,0.0,0,2022-01-01 01:32:00
-10.11,-4.4,-0.12,0.0,0.03,0.0,0,2022-01-01 01:33:00
-10.09,-4.38,-0.08,0.0,0.03,0.0,0,2022-01-01 01:34:00
-10.01,-4.54,0.03,0.0,0.02,-0.01,0,2022-01-01 01:35:00
-10.01,-4.54,0.03,0.0,0.02,-0.01,0,2022-01-01 01:36:00
-9.98,-4.51,-0.04,0.01,0.0,-0.01,0,2022-01-01 01:37:00
-9.98,-4.51,-0.04,0.01,0.0,-0.01,0,2022-01-01 01:38:00
-10.21,-4.43,-0.3,0.03,0.0,0.0,0,2022-01-01 01:39:00
-10.21,-4.43,-0.3,0.03,0.0,0.0,0,2022-01-01 01:40:00
-10.19,-4.41,-0.25,0.02,0.02,0.0,0,2022-01-01 01:41:00
-10.19,-4.41,-0.25,0.02,0.02,0.0,0,2022-01-01 01:42:00
-10.14,-4.51,-0.04,0.0,0.05,0.0,0,2022-01-01 01:43:00
-10.14,-4.51,-0.04,0.0,0.05,0.0,0,2022-01-01 01:44:00
-10.01,-4.7,0.05,0.0,0.03,0.0,0,2022-01-01 01:45:00
-10.03,-4.54,-0.19,0.02,0.0,0.0,0,2022-01-01 01:46:00
-10.03,-4.54,-0.19,0.02,0.0,0.0,0,2022-01-01 01:47:00
-10.14,-4.46,-0.28,0.03,0.0,0.0,0,2022-01-01 01:48:00
-10.14,-4.46,-0.28,0.03,0.0,0.0,0,2022-01-01 01:49:00
-10.11,-4.46,-0.37,0.01,0.01,0.0,0,2022-01-01 01:50:00
-10.11,-4.46,-0.37,0.01,0.01,0.0,0,2022-01-01 01:51:00
-10.02,-4.51,0.06,0.0,0.03,0.0,0,2022-01-01 01:52:00
-10.02,-4.51,0.06,0.0,0.03,0.0,0,2022-01-01 01:53:00
-10.02,-4.57,-0.06,0.01,0.0,0.0,0,2022-01-01 01:54:00
-10.02,-4.57,-0.06,0.01,0.0,0.0,0,2022-01-01 01:55:00
-10.09,-4.47,-0.39,0.02,-0.02,0.0,0,2022-01-01 01:56:00
-10.15,-4.47,-0.33,0.0,0.0,0.0,0,2022-01-01 01:57:00
-10.15,-4.47,-0.33,0.0,0.0,0.0,0,2022-01-01 01:58:00
-10.05,-4.54,-0.12,0.0,0.02,0.0,0,2022-01-01 01:59:00
-10.05,-4.54,-0.12,0.0,0.02,0.0,0,2022-01-01 02:00:00
-10.02,-4.5,-0.13,0.0,0.02,0.0,0,2022-01-01 02:01:00
-10.02,-4.5,-0.13,0.0,0.02,0.0,0,2022-01-01 02:02:00
-10.11,-4.43,0.02,0.0,0.01,0.0,0,2022-01-01 02:03:00
-10.11,-4.43,0.02,0.0,0.01,0.0,0,2022-01-01 02:04:00
-10.14,-4.44,-0.05,0.01,-0.01,0.0,0,2022-01-01 02:05:00
-10.14,-4.44,-0.05,0.01,-0.01,0.0,0,2022-01-01 02:06:00
-10.07,-4.49,-0.3,0.02,-0.03,0.0,0,2022-01-01 02:07:00
-10.13,-4.47,-0.25,0.01,0.0,0.0,0,2022-01-01 02:08:00
-10.13,-4.47,-0.25,0.01,0.0,0.0,0,2022-01-01 02:09:00
-10.19,-4.49,-0.07,0.0,0.01,0.0,0,2022-01-01 02:10:00
-10.19,-4.49,-0.07,0.0,0.01,0.0,0,2022-01-01 02:11:00
-10.11,-4.57,-0.24,0.0,0.02,0.0,0,2022-01-01 02:12:00
-10.11,-4.57,-0.24,0.0,0.02,0.0,0,2022-01-01 02:13:00
-10.03,-4.51,-0.04,-0.01,0.04,0.0,0,2022-01-01 02:14:00
-10.03,-4.51,-0.04,-0.01,0.04,0.0,0,2022-01-01 02:15:00
-10.07,-4.41,-0.02,0.0,0.03,0.0,0,2022-01-01 02:16:00
-10.1,-4.45,0.06,0.01,0.0,0.0,0,2022-01-01 02:17:00
-10.1,-4.45,0.06,0.01,0.0,0.0,0,2022-01-01 02:18:00
-10.03,-4.47,-0.17,0.02,-0.01,0.0,0,2022-01-01 02:19:00
-10.17,-4.55,0.03,-0.01,0.05,0.0,0,2022-01-01 02:20:00
-10.02,-4.62,-0.02,0.0,0.01,0.0,0,2022-01-01 02:21:00
-10.02,-4.62,-0.02,0.0,0.01,0.0,0,2022-01-01 02:22:00
-10.05,-4.57,-0.16,0.01,-0.01,0.0,0,2022-01-01 02:23:00
-10.05,-4.57,-0.16,0.01,-0.01,0.0,0,2022-01-01 02:24:00
-10.19,-4.48,-0.19,0.03,-0.03,0.0,0,2022-01-01 02:25:00
-10.03,-4.57,0.0,0.0,0.01,0.0,0,2022-01-01 02:26:00
-10.07,-4.48,-0.14,0.0,0.0,0.0,0,2022-01-01 02:27:00
-10.07,-4.48,-0.14,0.0,0.0,0.0,0,2022-01-01 02:28:00
-10.1,-4.48,-0.26,0.0,-0.01,0.0,0,2022-01-01 02:29:00
